content,score
mantap semakin mudah berbelanja,5
"tiba tiba akun saya sudah ditutup aneh gabisa masuk apps sama sekali,",3
"sebenernya aplikasi ini memudahkan hidup, cuma gatau belakangan ini kok gambar produk yang di aplikasi lama sekali utk ditampilkannya atau bahkan tidak muncul sama sekali. jadi kadang bingung juga untuk memilih produk tanpa melihat gambar produknya",3
"udah 2 hari error kagak bisa di pakai, setiap klik barang pasti error",1
ok bagus,5
"pengiriman terlalu lama di salah satu cabang, udah pilih layanan pengiriman maksimal 1 jam tapi ga pernah tepat waktu, di chat tokonya very slow respon, malah pernah diantar jam 11 malam saat org udh tidur, saat minta pengembalian dana mekanisme nya ga jelas, status pengembalian dana diajukan terus ga berubah2, sangat tidak fleksibel padahal suka bgt belanja di alfamart tp krn sistem alfagift nya begini jd kecewa",1
bagus,5
keren,5
Kepala Toko Memakai saya Dan saya pun di usir kepala Toko kejadian di Medan Sunggal Saya tidak terima di buat kepala Toko kayak gini Saya tidak tau apa Masalah nya in yg teman si Dinda sama si Manda satu toko ku Panggil itu kepala toko ku in Kepala toko Berkata kasar kepada ku Sama si Dinda Berkata kasar kepada ku Tolong tindak lanjut kejadian Hari in jam 8 pagi Sampai mati pun saya tidak ada kata maaf Saya Tim IT Sangat kecewa Seluruh dunia Tim IT tidak terima Perkataan Kepala toko kasar,2
kenapa susah banget mau cod pas diklik gak bisa,1
"Alfagif saya kena warning, gimana caranya untuk mem perbaikan. Tolong diinfo caranya",4
UU hu oil Koo ⅞u,3
"Kecewanya udah ngga bisa di tolerir lg! Pesanan sering kurang, sering salah, SUDAH SERING DI MAKLUMIN tapi tetap ngga ada perubahan. kaya ngga ada niat buat membuat pelanggannya puas gitu, boro2 minta maaf ke pelanggan kalo pesanan ngga sesuai, kaya ngga ngerasa bersalah, kadang maen taro aja depan rumah ngga salam trs langsung pergi, di panggil kayak pake headset ngga nyaut😤 Saya tau kalian Capek!!!! Tapi tetep harus profesional kerjanya, Sumpah ya, Aaaarrrrrggghhh kesel banget!!! uninstall!!!",1
ribet banget cok daftar nyh bikin emosi,2
"saya pesen online, ada kekurangan belanja sampe sekarang kekurangannya ga dikirim kirim malahan saya ga bisa kirim chat di aplikasi alfagift tersebut, sampe saya pesen lagi pesenannya, kasih tau sama kurir nya ada hg kurang malahan g digubris,",1
"gak bisa login katanya akun saya ditutup padahal baru beberapa hari daftar akun, hubungi alfacare juga gak bisa error terus",1
"gabisa daftar alfagift , nungguin verifikasi nya ga muncul muncul malah layar putih yang muncul padahal nomernya sudah benar,tolong bugnya diperbaiki",1
Terima Kasih,5
mantap lebih cepat datang nya,5
pelayanan nya sangat buruk,1
"sangat jelek sekali, tidak sesuai dengan yg diiklankan.",1
lelet banget pengiriman nya!!!! masa hampir 3 jam gak dateng2 padahal pilih yg 1 jam diubah dong jangan gini minimal ada fitur cancel kalo ga sesuai,1
"jelek bnget pelayanannya, informasi udah di terima nyatanya masih blom Dateng ga lagi pake Alfa gift",1
"pengiriman nya setahun wkwk lama bet dah, ini crew yg ngirim nya langsung ngirim in ke alamat tujuan apa nongkrong dl diluar?🤣🤣",2
kali ini bener² trauma belanja di toko ini. lamaa bgt pengirimannya. sekiranya antri & bakal lama kirim harusnya bisa konfirmasi. sebagai konsumen kecewa & sudah kapok .,1
"Saya beli pulsa melalui Alfagift sejumlah 22.000 lalu tiba tiba ada notifikasi transaksi gagal, saya tunggu 2x24 jam tidak ada transferan masuk ke rekening saya ataupun dalam berbentuk voucher ataupun dalam bentuk A-poin juga tidak ada yang masuk, baru kali ini Alfamart buat saya kecewa",1
pengiriman tidak sesuai degan waktunya layanan buruk,1
"kurirnya ngomel, katanya, ""pengiriman ke sini di stop dulu soalnya jauh, kenapa gak cari yang deket aja?"" hello! di apk ini kan ane mana tau barang dikirim dari alfamart mana, gak bisa pilih tokonya juga. jangan salahin sini dong! salahin apk nya kenapa bisa pesen?! kemaren kemaren jg sering pesen anter tpi kurir gk ngomel",2
apk nya rusakkk ga bisa di buka pas di buka eror kecewaaa,1
"halo kak, cara refund alfagift gimana ya?, ga bisa diganti tanggalnya, saya cek out tapi salah tanggal. sedang butuh segera barangnya. menindaklanjuti lanjuti refund, kenapa belum di proses juga ya? toko Alfamart Kutowinangun, malah chat untuk mengambil barang. saya sudah ajukan refund kak, bukan mau barang.",1
"beberapa kali kecewa, stok dari gudang gak dikirim-kirim, malah lebih dari seminggu belum dikirim, di chat cuma dibaca aja, di telpon gak diangkat-angkat, sungguh sangat mengecewakan",1
kartu member bermalsah gimna ini bnerin nya,4
tambah metode pembayaran M-banking,4
pembayaran gagal terus alfapoiny hangus gitu aja! gajelas lumayan udah 30.000,1
memudahkan belanja cepat sampai banyak promo Dan tentunya gratis ongkir sukses selalu,5
"gak bisa masuk aplikasi ,udh berkali kali reset password",3
setiap kali pesan disini barang selalu kurang,1
oke banget,5
nice,5
kenapa kode otp reset password tidak muncul,5
"terbaik, tinggal tambah bisa gabungin voucher saja kasian bnyak gk terpakai",5
semoga sukanya,5
apl g bisa login. percuma. nyesel download.,1
